,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-149.855712890625,-174.96221923828125,-135.07083129882812,-156.65011596679688,-141.89459228515625,-149.20758056640625,-161.35009765625,-159.31771850585938,-161.28530883789062,-155.05429077148438,-145.6644287109375,-164.30987548828125,-148.40798950195312,-155.0660400390625,-150.44677734375,-156.564697265625,-166.18624877929688,-163.07318115234375,-160.63800048828125,-153.74435424804688,-159.07699584960938,-147.247314453125,-160.948486328125,-153.10198974609375,-143.54733276367188,-155.2215576171875,-138.35787963867188,-152.16497802734375,-164.09661865234375,-154.90179443359375,-157.63076782226562,-154.45855712890625,-154.42437744140625,-151.4207763671875,-138.1370849609375,-160.8873291015625,-154.0872802734375,-156.6490478515625,-146.05889892578125,-144.88894653320312,-163.438232421875,-157.55044555664062,-145.20919799804688,-165.67306518554688,-169.28067016601562,-152.7801513671875,-150.9205322265625,-156.7857666015625,-155.02151489257812,-164.83245849609375,-163.38287353515625,-161.69577026367188,-151.39215087890625,-146.1226806640625,-151.2625732421875,-159.73294067382812,-151.44451904296875,-159.84054565429688,-150.30712890625,-166.90435791015625,-156.028564453125,-164.72491455078125,-154.7978515625,-159.44140625,-158.51025390625,-149.79644775390625,-153.76666259765625,-165.29986572265625,-153.32196044921875,-138.5472412109375,-164.72015380859375,-155.55575561523438,-150.99911499023438,-162.7027587890625,-148.56991577148438,-164.91156005859375,-173.74981689453125,-157.839111328125,-158.120361328125,-155.61181640625,-162.46746826171875,-164.44317626953125,-151.892333984375,-166.47637939453125,-159.23062133789062,-146.87249755859375,-143.0328369140625,-149.03265380859375,-151.2213134765625,-159.013916015625,-159.9549560546875,-162.2283935546875,-159.32064819335938,-159.40008544921875,-156.417724609375,-141.7939453125,-156.35818481445312,-153.45062255859375,-151.64202880859375,-163.62066650390625
1,-192.814697265625,-195.11578369140625,-196.5634765625,-194.02554321289062,-191.67529296875,-190.3125,-190.94100952148438,-187.89288330078125,-185.80047607421875,-197.67144775390625,-194.24444580078125,-194.35598754882812,-195.8040771484375,-202.59295654296875,-193.90020751953125,-185.25433349609375,-193.00521850585938,-188.15924072265625,-193.45834350585938,-190.43829345703125,-187.25103759765625,-189.42910766601562,-190.84628295898438,-187.0462646484375,-197.478515625,-190.5382080078125,-185.96917724609375,-192.01345825195312,-184.56195068359375,-187.07037353515625,-197.94195556640625,-187.61416625976562,-189.09591674804688,-190.20330810546875,-189.80126953125,-191.40530395507812,-185.85333251953125,-196.57693481445312,-191.94894409179688,-192.5123291015625,-181.90460205078125,-188.57772827148438,-203.0509033203125,-190.61395263671875,-183.6702880859375,-194.00302124023438,-196.80361938476562,-194.016845703125,-181.47372436523438,-195.46197509765625,-193.6295166015625,-187.54238891601562,-189.42718505859375,-194.8477783203125,-194.14059448242188,-193.33306884765625,-185.97811889648438,-194.38671875,-204.933837890625,-195.93807983398438,-197.32305908203125,-187.85455322265625,-187.7242431640625,-188.23947143554688,-176.84664916992188,-190.20925903320312,-195.684814453125,-185.56158447265625,-186.088623046875,-194.38824462890625,-188.19915771484375,-192.60195922851562,-202.02215576171875,-189.98953247070312,-184.28717041015625,-195.5081787109375,-191.68862915039062,-190.321533203125,-198.64825439453125,-190.6221923828125,-186.24539184570312,-199.26092529296875,-194.05892944335938,-186.506591796875,-197.79327392578125,-194.34405517578125,-198.01199340820312,-182.348388671875,-192.521728515625,-187.75311279296875,-189.1708984375,-195.23077392578125,-188.97314453125,-199.65423583984375,-200.1097412109375,-193.15444946289062,-205.1785888671875,-188.71328735351562,-202.252197265625,-197.4437255859375
2,-204.03656005859375,-192.1795654296875,-200.90594482421875,-198.75921630859375,-197.04010009765625,-195.11383056640625,-200.05752563476562,-193.12982177734375,-200.44970703125,-190.95025634765625,-195.36846923828125,-203.0029296875,-196.99609375,-192.80197143554688,-201.78607177734375,-197.1954345703125,-190.24798583984375,-196.74346923828125,-201.04605102539062,-198.019287109375,-201.12603759765625,-191.09832763671875,-191.67767333984375,-194.56927490234375,-202.664306640625,-201.85662841796875,-191.29824829101562,-187.05905151367188,-195.4732666015625,-202.59005737304688,-198.09622192382812,-192.71502685546875,-197.40972900390625,-198.87322998046875,-197.94439697265625,-201.751220703125,-199.1650390625,-192.87481689453125,-194.55352783203125,-192.103271484375,-197.3648681640625,-202.98638916015625,-191.54290771484375,-201.47756958007812,-189.33953857421875,-190.8665771484375,-199.070068359375,-200.3896484375,-197.306396484375,-189.9710693359375,-199.1561279296875,-195.84423828125,-202.60162353515625,-196.40924072265625,-195.53326416015625,-200.12738037109375,-202.579345703125,-194.59130859375,-193.53326416015625,-202.48623657226562,-196.57440185546875,-187.17495727539062,-199.9647216796875,-194.4608154296875,-201.82891845703125,-200.71786499023438,-204.1973876953125,-189.91192626953125,-197.69223022460938,-192.28387451171875,-195.09347534179688,-198.87841796875,-204.61541748046875,-199.98251342773438,-195.77288818359375,-196.8389892578125,-196.580078125,-199.76400756835938,-194.195556640625,-205.49224853515625,-199.6422119140625,-202.05859375,-198.59738159179688,-200.26055908203125,-193.81683349609375,-201.73126220703125,-194.92669677734375,-200.58050537109375,-196.91546630859375,-192.15887451171875,-191.559814453125,-195.14312744140625,-188.57052612304688,-195.2701416015625,-194.982666015625,-199.49310302734375,-199.0355224609375,-194.6702880859375,-193.60662841796875,-189.02593994140625
3,-197.795654296875,-198.7669677734375,-201.6129150390625,-200.01223754882812,-197.83099365234375,-199.82861328125,-197.885009765625,-200.72442626953125,-193.78271484375,-198.36599731445312,-196.36663818359375,-192.0262451171875,-200.7030029296875,-194.3258056640625,-196.193115234375,-201.1671142578125,-206.1539306640625,-196.40966796875,-193.67193603515625,-197.72628784179688,-197.3514404296875,-199.80068969726562,-198.04534912109375,-197.75372314453125,-202.94427490234375,-194.64300537109375,-198.68121337890625,-195.97479248046875,-191.5792236328125,-197.386474609375,-203.55343627929688,-205.10595703125,-192.92095947265625,-198.25518798828125,-200.81793212890625,-200.0703125,-199.517822265625,-201.00311279296875,-195.727783203125,-199.1395263671875,-197.51556396484375,-192.6859130859375,-196.0218505859375,-194.47967529296875,-197.11273193359375,-199.79461669921875,-201.13592529296875,-197.51995849609375,-202.4544677734375,-200.480224609375,-196.66281127929688,-198.99288940429688,-199.516845703125,-199.23016357421875,-199.8594970703125,-197.7716064453125,-195.35601806640625,-201.48208618164062,-199.28912353515625,-200.54205322265625,-195.7257080078125,-199.9517822265625,-192.48260498046875,-196.105712890625,-199.71539306640625,-200.10296630859375,-200.69891357421875,-195.29379272460938,-197.05535888671875,-203.432861328125,-199.47039794921875,-193.79571533203125,-193.47210693359375,-195.60150146484375,-195.574951171875,-198.8333740234375,-193.81597900390625,-194.83212280273438,-199.88616943359375,-202.34613037109375,-194.14129638671875,-197.8074951171875,-194.58795166015625,-193.07928466796875,-199.58544921875,-201.00396728515625,-203.07479858398438,-203.25152587890625,-197.67608642578125,-203.2557373046875,-196.96484375,-199.45343017578125,-201.891845703125,-197.2073974609375,-199.54425048828125,-204.583251953125,-191.4908447265625,-199.0208740234375,-208.3436279296875,-194.58935546875
4,-200.1221923828125,-199.27047729492188,-198.79296875,-198.64459228515625,-195.11019897460938,-193.33740234375,-199.3975830078125,-198.520263671875,-198.12823486328125,-198.95855712890625,-192.55389404296875,-194.961669921875,-203.93035888671875,-201.32025146484375,-201.077392578125,-200.32684326171875,-196.5679931640625,-196.41485595703125,-201.01708984375,-196.564208984375,-195.52618408203125,-197.39215087890625,-196.18475341796875,-197.93865966796875,-199.23052978515625,-197.09393310546875,-198.20263671875,-201.767333984375,-198.3416748046875,-199.79852294921875,-197.28228759765625,-198.11798095703125,-196.5335693359375,-196.76129150390625,-197.3057861328125,-202.32586669921875,-196.38629150390625,-201.45648193359375,-197.3433837890625,-194.27392578125,-197.4227294921875,-198.2476806640625,-195.030029296875,-192.99810791015625,-196.2615966796875,-195.34368896484375,-203.3966064453125,-199.86126708984375,-199.2305908203125,-196.0943603515625,-201.5103759765625,-194.892822265625,-204.9227294921875,-201.2904052734375,-203.93896484375,-193.77655029296875,-199.9456787109375,-199.3348388671875,-197.89031982421875,-198.6807861328125,-201.983642578125,-200.435302734375,-196.771240234375,-198.985107421875,-198.70538330078125,-200.3052978515625,-197.0587158203125,-195.91204833984375,-191.71722412109375,-201.83209228515625,-195.812744140625,-199.97357177734375,-199.3319091796875,-193.78118896484375,-193.65740966796875,-199.69879150390625,-197.77005004882812,-200.78958129882812,-198.310791015625,-202.5977783203125,-200.177001953125,-190.0841064453125,-194.46636962890625,-198.09344482421875,-200.555419921875,-194.63787841796875,-201.47607421875,-196.693359375,-202.93914794921875,-197.16070556640625,-193.95770263671875,-195.185302734375,-190.46685791015625,-201.00482177734375,-199.57818603515625,-195.89544677734375,-195.67059326171875,-199.513671875,-196.31866455078125,-192.97564697265625
5,-198.65057373046875,-196.99298095703125,-196.71868896484375,-200.59222412109375,-195.17974853515625,-198.7913818359375,-198.51461791992188,-197.69671630859375,-196.31625366210938,-196.0955810546875,-199.80303955078125,-199.84185791015625,-192.61102294921875,-199.24749755859375,-197.64889526367188,-199.391845703125,-192.7833251953125,-198.9517822265625,-198.30303955078125,-193.6280517578125,-199.787841796875,-192.7391357421875,-200.5478515625,-201.8092041015625,-200.9691162109375,-195.8968505859375,-199.64666748046875,-199.55767822265625,-195.20440673828125,-193.7554931640625,-199.51629638671875,-198.0057373046875,-198.10308837890625,-194.52581787109375,-198.109130859375,-198.6517333984375,-196.86334228515625,-195.57177734375,-197.6312255859375,-200.07464599609375,-197.3536376953125,-199.83526611328125,-201.9320068359375,-200.02951049804688,-199.32122802734375,-203.95428466796875,-199.654541015625,-198.9510498046875,-195.73565673828125,-197.9559326171875,-196.60025024414062,-201.55206298828125,-202.474853515625,-201.95751953125,-201.852783203125,-193.39227294921875,-190.92971801757812,-198.06182861328125,-197.3548583984375,-198.58251953125,-193.21990966796875,-197.36004638671875,-200.17120361328125,-195.56488037109375,-197.87811279296875,-196.88214111328125,-197.80499267578125,-201.17581176757812,-200.5301513671875,-197.5185546875,-194.0157470703125,-195.76373291015625,-199.1492919921875,-197.97698974609375,-203.02642822265625,-202.98443603515625,-197.54345703125,-198.14385986328125,-196.99462890625,-200.08123779296875,-198.5517578125,-197.37890625,-201.22021484375,-199.66400146484375,-193.76507568359375,-199.0177001953125,-192.80596923828125,-200.27825927734375,-199.86248779296875,-199.11407470703125,-199.62432861328125,-195.20806884765625,-196.343017578125,-195.10552978515625,-197.1524658203125,-199.61309814453125,-201.44964599609375,-193.29293823242188,-198.1326904296875,-200.05426025390625
6,-196.940673828125,-198.65081787109375,-191.0516357421875,-196.7591552734375,-198.156005859375,-196.46923828125,-198.245361328125,-201.99237060546875,-196.85565185546875,-199.22625732421875,-198.83462524414062,-197.89260864257812,-198.4783935546875,-198.17669677734375,-193.5313720703125,-196.4375,-202.97930908203125,-199.57318115234375,-203.22479248046875,-195.1168212890625,-199.73333740234375,-201.906005859375,-197.99847412109375,-198.239013671875,-194.586181640625,-196.83230590820312,-200.22113037109375,-198.36785888671875,-195.54779052734375,-198.03567504882812,-192.83917236328125,-196.767578125,-198.85702514648438,-197.75634765625,-197.758056640625,-192.497314453125,-201.49383544921875,-201.40005493164062,-202.20184326171875,-198.26397705078125,-200.2301025390625,-198.67169189453125,-197.0438232421875,-195.9278564453125,-199.41265869140625,-198.24179077148438,-197.20355224609375,-196.708984375,-198.60174560546875,-198.00439453125,-201.80429077148438,-195.77691650390625,-195.40676879882812,-199.89776611328125,-199.24859619140625,-196.26513671875,-196.84942626953125,-202.27392578125,-200.13027954101562,-197.60516357421875,-198.215576171875,-196.47100830078125,-198.30419921875,-198.02978515625,-201.76934814453125,-197.9405517578125,-199.19314575195312,-194.86322021484375,-196.35101318359375,-201.38726806640625,-196.17840576171875,-201.33255004882812,-196.5977783203125,-195.64407348632812,-196.45550537109375,-198.218505859375,-196.56451416015625,-200.23419189453125,-200.69326782226562,-194.17254638671875,-196.28323364257812,-198.19805908203125,-197.242919921875,-195.15805053710938,-200.28302001953125,-203.03640747070312,-201.55764770507812,-196.67254638671875,-195.988525390625,-200.25750732421875,-197.56549072265625,-199.572509765625,-198.88067626953125,-201.9638671875,-198.33978271484375,-197.8951416015625,-196.55914306640625,-198.09710693359375,-198.7044677734375,-198.22537231445312
7,-196.8299560546875,-199.98538208007812,-198.76693725585938,-200.13580322265625,-196.15911865234375,-198.21463012695312,-200.23281860351562,-198.14398193359375,-201.718505859375,-199.68890380859375,-199.73333740234375,-201.02691650390625,-200.70367431640625,-202.74237060546875,-194.35980224609375,-197.21441650390625,-196.32333374023438,-199.8411865234375,-198.24993896484375,-196.94378662109375,-199.76910400390625,-198.82867431640625,-196.7626953125,-200.76763916015625,-195.5614013671875,-199.048828125,-196.19146728515625,-198.53826904296875,-196.56005859375,-193.69146728515625,-203.03973388671875,-197.79217529296875,-200.26922607421875,-198.9854736328125,-200.99981689453125,-192.66595458984375,-198.77685546875,-197.58688354492188,-197.28778076171875,-196.2618408203125,-196.691162109375,-194.48046875,-200.115966796875,-200.61639404296875,-197.53973388671875,-197.18963623046875,-193.59906005859375,-198.6146240234375,-201.58807373046875,-199.086669921875,-200.35357666015625,-197.42852783203125,-198.37139892578125,-197.73443603515625,-198.6617431640625,-197.09515380859375,-196.09027099609375,-200.379150390625,-197.395263671875,-195.95611572265625,-193.5294189453125,-203.81591796875,-197.5101318359375,-196.55694580078125,-200.26654052734375,-200.61688232421875,-197.19293212890625,-199.35955810546875,-198.96417236328125,-199.733154296875,-197.70074462890625,-194.97857666015625,-199.3909912109375,-196.92398071289062,-199.18487548828125,-200.95465087890625,-198.96575927734375,-197.94622802734375,-196.62841796875,-193.54067993164062,-196.66546630859375,-195.7091064453125,-197.03790283203125,-201.54290771484375,-199.5230712890625,-196.18548583984375,-196.93377685546875,-202.56692504882812,-194.85586547851562,-198.50311279296875,-197.54656982421875,-197.11773681640625,-195.04632568359375,-194.5794677734375,-197.756591796875,-195.69512939453125,-195.28857421875,-198.95156860351562,-198.664306640625,-202.50045776367188
8,-197.02432250976562,-195.83523559570312,-191.00372314453125,-198.59161376953125,-195.54388427734375,-200.39788818359375,-201.7205810546875,-199.48553466796875,-196.222900390625,-197.5736083984375,-201.34866333007812,-200.728515625,-194.5577392578125,-197.5806884765625,-197.31576538085938,-193.77899169921875,-195.377197265625,-193.2415771484375,-195.31292724609375,-200.29840087890625,-197.10028076171875,-198.1483154296875,-197.5665283203125,-199.5506591796875,-196.86380004882812,-195.94497680664062,-197.85244750976562,-200.53204345703125,-193.666748046875,-197.29486083984375,-198.133544921875,-197.0936279296875,-198.6583251953125,-198.3984375,-193.55615234375,-200.24725341796875,-197.98193359375,-198.80413818359375,-200.42999267578125,-200.686279296875,-202.1346435546875,-194.875244140625,-201.01708984375,-200.28604125976562,-197.74285888671875,-198.92132568359375,-198.9013671875,-198.04495239257812,-196.28204345703125,-193.97113037109375,-198.35610961914062,-195.9842529296875,-198.49981689453125,-200.49261474609375,-196.41940307617188,-197.88897705078125,-197.312744140625,-198.1993408203125,-198.06072998046875,-198.19866943359375,-196.8612060546875,-198.43707275390625,-199.8328857421875,-201.5821533203125,-195.5482177734375,-201.6025390625,-199.03857421875,-199.720947265625,-198.111083984375,-202.54693603515625,-197.538818359375,-201.63604736328125,-193.46817016601562,-199.889892578125,-199.08038330078125,-196.63787841796875,-201.55160522460938,-195.77456665039062,-193.54632568359375,-198.64129638671875,-198.81634521484375,-200.83599853515625,-200.89794921875,-197.74102783203125,-197.73129272460938,-196.27737426757812,-198.57403564453125,-197.41729736328125,-202.3704833984375,-198.063720703125,-194.20989990234375,-197.3529052734375,-197.36477661132812,-196.70294189453125,-198.09930419921875,-190.8848876953125,-198.23065185546875,-195.32891845703125,-200.14532470703125,-195.59872436523438
9,-196.56436157226562,-197.49700927734375,-199.07086181640625,-200.1099853515625,-196.80789184570312,-198.86602783203125,-199.98773193359375,-200.16705322265625,-198.85418701171875,-199.88555908203125,-194.94281005859375,-197.71075439453125,-199.89288330078125,-192.05145263671875,-198.29122924804688,-197.9749755859375,-196.998779296875,-196.47601318359375,-200.21368408203125,-200.3707275390625,-199.60247802734375,-196.58468627929688,-199.61239624023438,-198.33465576171875,-198.82696533203125,-197.39016723632812,-194.541259765625,-195.80072021484375,-198.761962890625,-200.19354248046875,-199.629150390625,-198.44439697265625,-199.86874389648438,-196.88372802734375,-198.68572998046875,-197.95147705078125,-198.48587036132812,-202.327880859375,-194.20016479492188,-197.023193359375,-201.4259033203125,-199.81942749023438,-198.06390380859375,-196.39544677734375,-196.3729248046875,-198.8568115234375,-198.34710693359375,-199.29425048828125,-200.5675048828125,-199.61297607421875,-195.4847412109375,-201.04864501953125,-198.90960693359375,-202.3148193359375,-198.02557373046875,-198.82244873046875,-194.87701416015625,-201.1890869140625,-196.294189453125,-193.52618408203125,-196.78558349609375,-194.697021484375,-194.26235961914062,-198.51568603515625,-197.17816162109375,-205.22164916992188,-195.85626220703125,-199.77020263671875,-195.83425903320312,-200.66802978515625,-197.81588745117188,-197.94281005859375,-197.37652587890625,-197.47021484375,-198.57345581054688,-196.69525146484375,-196.08062744140625,-196.05828857421875,-199.73330688476562,-196.8360595703125,-195.28750610351562,-199.45855712890625,-195.27874755859375,-197.44256591796875,-197.05755615234375,-199.01983642578125,-197.73309326171875,-198.11297607421875,-201.34527587890625,-202.43865966796875,-197.14996337890625,-197.29876708984375,-198.76214599609375,-200.21231079101562,-197.7486572265625,-197.41567993164062,-198.66970825195312,-197.49774169921875,-198.65414428710938,-202.25592041015625
