,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-159.73104858398438,-157.3599853515625,-155.90457153320312,-148.96627807617188,-163.50518798828125,-154.56173706054688,-166.95095825195312,-157.22030639648438,-155.6129150390625,-155.91162109375,-159.47735595703125,-149.4949951171875,-152.7828369140625,-169.8360595703125,-156.7679443359375,-143.42523193359375,-154.77340698242188,-163.21823120117188,-148.29119873046875,-147.0294189453125,-145.40191650390625,-142.78106689453125,-159.89373779296875,-149.51287841796875,-165.54766845703125,-166.58969116210938,-143.8397216796875,-165.1507568359375,-141.64932250976562,-150.41574096679688,-164.17913818359375,-140.78173828125,-164.71237182617188,-176.39666748046875,-159.7906494140625,-144.9869384765625,-155.979248046875,-156.67864990234375,-147.1707763671875,-157.90988159179688,-159.78240966796875,-151.12396240234375,-161.2652587890625,-160.86431884765625,-152.60137939453125,-148.51416015625,-166.28350830078125,-146.34072875976562,-156.95223999023438,-160.37228393554688,-159.825439453125,-161.63796997070312,-149.08547973632812,-157.837646484375,-161.63894653320312,-154.814453125,-156.38809204101562,-164.66232299804688,-169.5628662109375,-167.99102783203125,-155.819091796875,-151.27545166015625,-136.93496704101562,-163.36871337890625,-161.9453125,-152.449951171875,-146.9627685546875,-147.00152587890625,-159.5189208984375,-162.66021728515625,-162.79159545898438,-154.34375,-158.09085083007812,-154.45574951171875,-170.19528198242188,-157.102294921875,-167.44137573242188,-158.67547607421875,-158.06182861328125,-157.91851806640625,-170.30160522460938,-145.29449462890625,-148.47531127929688,-155.65716552734375,-168.4111328125,-165.01171875,-142.63128662109375,-149.76580810546875,-149.32229614257812,-154.66180419921875,-144.51959228515625,-156.92025756835938,-160.06936645507812,-157.53778076171875,-141.23565673828125,-165.30615234375,-154.03497314453125,-148.7427978515625,-154.72869873046875,-150.56658935546875
1,-193.65377807617188,-180.5186767578125,-187.27932739257812,-188.66302490234375,-194.38656616210938,-194.03121948242188,-191.7720947265625,-186.79315185546875,-193.86749267578125,-194.7611083984375,-189.47955322265625,-196.2628173828125,-189.32745361328125,-185.24554443359375,-184.00009155273438,-188.35809326171875,-187.86923217773438,-193.19183349609375,-193.9017333984375,-191.479248046875,-185.2589111328125,-192.09063720703125,-190.72207641601562,-182.33367919921875,-190.43289184570312,-191.17822265625,-195.130859375,-187.24029541015625,-186.6798095703125,-190.30935668945312,-186.14321899414062,-189.35482788085938,-190.63165283203125,-192.6790771484375,-190.74945068359375,-188.35003662109375,-192.23410034179688,-189.31417846679688,-194.39276123046875,-188.21115112304688,-191.77947998046875,-190.1734619140625,-190.5653076171875,-188.183349609375,-193.5994873046875,-195.42449951171875,-195.31686401367188,-191.96380615234375,-188.56378173828125,-186.44049072265625,-194.27484130859375,-187.67694091796875,-185.42279052734375,-188.54293823242188,-182.6553955078125,-188.4111328125,-190.46133422851562,-190.462158203125,-194.09014892578125,-195.79364013671875,-187.59893798828125,-186.83245849609375,-189.9105224609375,-188.4967041015625,-191.46060180664062,-189.75466918945312,-186.35528564453125,-188.5008544921875,-193.1290283203125,-187.6644287109375,-187.64727783203125,-192.52957153320312,-192.55047607421875,-184.56036376953125,-189.4141845703125,-191.65093994140625,-195.08334350585938,-189.97735595703125,-186.856689453125,-195.60699462890625,-191.65597534179688,-188.95233154296875,-188.24850463867188,-191.2109375,-195.521240234375,-191.41793823242188,-195.60104370117188,-185.82720947265625,-184.94317626953125,-190.907470703125,-188.648193359375,-188.84320068359375,-183.28500366210938,-189.6302490234375,-192.86114501953125,-193.19317626953125,-188.38235473632812,-188.34783935546875,-194.6424560546875,-188.36740112304688
2,-194.13723754882812,-195.4334716796875,-196.38555908203125,-195.67361450195312,-191.41732788085938,-196.8809814453125,-195.70147705078125,-194.68173217773438,-193.81365966796875,-193.49191284179688,-195.63998413085938,-195.39251708984375,-196.26361083984375,-194.1995849609375,-195.7652587890625,-193.73529052734375,-195.577880859375,-195.56231689453125,-195.841552734375,-196.0732421875,-195.2342529296875,-194.5589599609375,-196.17236328125,-194.27255249023438,-195.84552001953125,-192.70376586914062,-196.12030029296875,-189.74261474609375,-195.41351318359375,-195.417724609375,-193.84686279296875,-195.53228759765625,-196.23248291015625,-196.1260986328125,-195.71710205078125,-194.002685546875,-192.7396240234375,-195.72430419921875,-196.42181396484375,-195.2440185546875,-196.0791015625,-195.78070068359375,-195.333251953125,-196.68597412109375,-196.3150634765625,-191.78915405273438,-194.30120849609375,-195.738037109375,-195.54644775390625,-195.87744140625,-196.54718017578125,-196.20367431640625,-194.3917236328125,-195.7947998046875,-193.73464965820312,-194.19650268554688,-192.88192749023438,-196.14425659179688,-195.89508056640625,-196.190673828125,-195.927001953125,-195.7896728515625,-191.74929809570312,-195.73873901367188,-195.81884765625,-196.65167236328125,-195.8746337890625,-195.84564208984375,-193.7049560546875,-193.88101196289062,-194.7154541015625,-196.29052734375,-196.12066650390625,-193.41253662109375,-194.2149658203125,-196.40032958984375,-195.99609375,-194.52685546875,-196.10421752929688,-195.5654296875,-195.9384765625,-193.90362548828125,-193.9625244140625,-196.165771484375,-195.458740234375,-195.5513916015625,-196.69921875,-196.1119384765625,-195.94525146484375,-195.05609130859375,-193.59939575195312,-195.45550537109375,-196.2200927734375,-192.35525512695312,-196.30419921875,-195.98101806640625,-196.33624267578125,-194.38589477539062,-194.75650024414062,-194.08697509765625
3,-196.1705322265625,-196.07958984375,-195.9979248046875,-196.89178466796875,-197.07208251953125,-195.93939208984375,-196.08990478515625,-195.681884765625,-196.25152587890625,-195.562255859375,-193.99456787109375,-196.3001708984375,-196.27374267578125,-196.19171142578125,-194.73074340820312,-195.07855224609375,-196.11126708984375,-194.74179077148438,-195.7855224609375,-196.23226928710938,-195.8502197265625,-195.25396728515625,-191.6624755859375,-196.3758544921875,-195.15167236328125,-196.36227416992188,-195.67822265625,-195.76031494140625,-195.49578857421875,-196.00567626953125,-195.9537353515625,-194.87994384765625,-196.35260009765625,-195.79116821289062,-195.95233154296875,-196.40899658203125,-195.64263916015625,-195.9832763671875,-195.87109375,-196.25955200195312,-196.42340087890625,-195.68182373046875,-195.75439453125,-196.08724975585938,-196.11663818359375,-196.263427734375,-195.11688232421875,-196.3577880859375,-196.16973876953125,-193.6187744140625,-196.18975830078125,-196.39617919921875,-195.6812744140625,-196.33987426757812,-195.72747802734375,-195.76690673828125,-196.786865234375,-196.47625732421875,-195.55377197265625,-196.5897216796875,-196.3577880859375,-195.81402587890625,-195.7215576171875,-195.6522216796875,-195.76055908203125,-195.92816162109375,-196.076416015625,-196.70587158203125,-195.8282470703125,-196.12548828125,-195.69500732421875,-195.973388671875,-195.93548583984375,-196.15618896484375,-195.03765869140625,-196.24554443359375,-195.27163696289062,-196.49346923828125,-195.94488525390625,-196.23165893554688,-196.02447509765625,-195.793701171875,-196.225830078125,-195.94970703125,-196.0513916015625,-196.12155151367188,-195.46014404296875,-196.330078125,-196.18890380859375,-193.86074829101562,-196.2366943359375,-196.034423828125,-196.10333251953125,-195.48431396484375,-193.12973022460938,-193.98171997070312,-195.622314453125,-196.51141357421875,-196.20123291015625,-195.95889282226562
4,-195.6072998046875,-196.60345458984375,-195.52899169921875,-195.9788818359375,-195.91400146484375,-195.6544189453125,-196.03948974609375,-195.37127685546875,-196.086181640625,-196.20904541015625,-195.8072509765625,-193.45733642578125,-195.45556640625,-196.88421630859375,-195.6400146484375,-195.87554931640625,-196.30450439453125,-196.32366943359375,-196.21771240234375,-193.89315795898438,-196.43756103515625,-196.34027099609375,-196.16259765625,-195.60040283203125,-196.27935791015625,-195.5819091796875,-195.6544189453125,-195.7696533203125,-195.581787109375,-196.35748291015625,-195.90216064453125,-196.18536376953125,-196.33551025390625,-196.0076904296875,-196.12933349609375,-196.0899658203125,-196.96807861328125,-196.1004638671875,-196.41070556640625,-195.904541015625,-195.66265869140625,-196.41476440429688,-195.63238525390625,-196.094482421875,-196.303955078125,-195.69647216796875,-195.5916748046875,-195.44366455078125,-195.438720703125,-196.08596801757812,-195.74224853515625,-196.270263671875,-195.52838134765625,-195.94622802734375,-196.0595703125,-196.21014404296875,-195.553466796875,-195.2607421875,-196.24310302734375,-193.66659545898438,-196.25146484375,-196.21844482421875,-195.86480712890625,-195.6275634765625,-195.73876953125,-194.462646484375,-196.42681884765625,-193.83853149414062,-196.30712890625,-195.94927978515625,-195.97491455078125,-195.842529296875,-196.36163330078125,-195.93826293945312,-196.18328857421875,-195.68853759765625,-195.26446533203125,-193.79150390625,-196.12066650390625,-196.27996826171875,-196.295654296875,-196.1600341796875,-195.8773193359375,-195.97802734375,-195.89288330078125,-196.152587890625,-195.28826904296875,-196.59136962890625,-195.7088623046875,-196.66156005859375,-195.20361328125,-195.89508056640625,-195.14950561523438,-196.21563720703125,-196.41424560546875,-196.25726318359375,-195.98699951171875,-196.4051513671875,-196.739013671875,-196.101806640625
5,-195.82843017578125,-196.03781127929688,-195.83160400390625,-195.48333740234375,-196.06118774414062,-195.79547119140625,-196.78289794921875,-195.09454345703125,-196.22650146484375,-196.68927001953125,-195.69256591796875,-195.96731567382812,-196.55303955078125,-196.1815185546875,-195.7113037109375,-195.8477783203125,-196.04705810546875,-195.20361328125,-195.62200927734375,-195.9434814453125,-196.42178344726562,-195.72796630859375,-196.09075927734375,-196.39669799804688,-196.19573974609375,-195.92108154296875,-196.34124755859375,-196.32171630859375,-196.238525390625,-196.69107055664062,-195.81329345703125,-196.25787353515625,-195.99505615234375,-195.34539794921875,-195.7882080078125,-196.92266845703125,-195.5924072265625,-196.25970458984375,-196.6014404296875,-196.2554931640625,-196.74871826171875,-195.9254150390625,-196.24066162109375,-195.18313598632812,-196.01611328125,-195.6588134765625,-196.1241455078125,-195.92181396484375,-195.57415771484375,-195.85009765625,-195.6962890625,-196.17977905273438,-196.12896728515625,-196.08477783203125,-195.752197265625,-196.38055419921875,-196.201171875,-196.16546630859375,-196.9915771484375,-195.50265502929688,-196.096923828125,-195.30633544921875,-196.17840576171875,-196.36077880859375,-196.07891845703125,-196.17898559570312,-195.79364013671875,-195.613525390625,-195.74627685546875,-195.81561279296875,-196.522216796875,-196.02593994140625,-196.46823120117188,-196.51251220703125,-195.3712158203125,-196.15997314453125,-195.75958251953125,-196.1649169921875,-196.501708984375,-196.3787841796875,-196.28509521484375,-195.78680419921875,-195.43472290039062,-196.27392578125,-196.44537353515625,-196.02301025390625,-195.6844482421875,-196.27786254882812,-195.7476806640625,-195.84442138671875,-196.51971435546875,-196.0565185546875,-196.00640869140625,-195.90948486328125,-196.073974609375,-196.0020751953125,-195.787841796875,-196.1859130859375,-195.9603271484375,-195.68914794921875
6,-195.9473876953125,-195.7325439453125,-196.58026123046875,-195.83294677734375,-195.9742431640625,-196.05276489257812,-195.58673095703125,-195.2960205078125,-196.01007080078125,-195.79888916015625,-196.01995849609375,-195.86691284179688,-195.55291748046875,-195.960693359375,-195.54925537109375,-196.40899658203125,-195.65054321289062,-195.86270141601562,-195.6641845703125,-196.03607177734375,-196.08026123046875,-195.9866943359375,-195.9617919921875,-196.31988525390625,-195.94818115234375,-195.580810546875,-195.71160888671875,-196.466552734375,-195.94805908203125,-195.80767822265625,-194.89678955078125,-196.345703125,-195.95584106445312,-196.2376708984375,-196.02972412109375,-195.84536743164062,-196.47369384765625,-196.06842041015625,-195.77291870117188,-195.86077880859375,-196.37664794921875,-196.1207275390625,-195.956298828125,-195.80303955078125,-196.43231201171875,-195.950927734375,-195.9693603515625,-196.126953125,-197.04449462890625,-195.87115478515625,-196.08367919921875,-195.78094482421875,-196.33547973632812,-195.64508056640625,-195.57769775390625,-196.26693725585938,-196.353515625,-195.46734619140625,-195.62689208984375,-195.79641723632812,-196.11053466796875,-195.74417114257812,-195.8560791015625,-196.67169189453125,-196.12127685546875,-196.759033203125,-196.52740478515625,-196.32659912109375,-196.43798828125,-195.92633056640625,-196.0364990234375,-196.25323486328125,-196.07684326171875,-195.65264892578125,-195.77606201171875,-195.84674072265625,-195.93521118164062,-195.73391723632812,-195.81182861328125,-196.26898193359375,-195.7022705078125,-195.67864990234375,-195.82321166992188,-196.149658203125,-196.01995849609375,-196.24053955078125,-195.84893798828125,-196.6431884765625,-195.72869873046875,-196.15631103515625,-196.21527099609375,-195.76470947265625,-196.15475463867188,-195.67941284179688,-195.58721923828125,-195.86492919921875,-196.31256103515625,-196.30322265625,-196.14801025390625,-195.84637451171875
7,-196.20343017578125,-196.36434936523438,-196.1033935546875,-195.6552734375,-196.34307861328125,-196.20196533203125,-195.81121826171875,-196.02777099609375,-196.4603271484375,-196.01129150390625,-196.161376953125,-195.74169921875,-195.61065673828125,-195.79217529296875,-196.3934326171875,-196.17794799804688,-196.81683349609375,-195.7052001953125,-195.6173095703125,-195.9273681640625,-195.8123779296875,-196.3701171875,-195.8741455078125,-195.7734375,-196.95745849609375,-195.65911865234375,-195.97750854492188,-196.0589599609375,-196.18560791015625,-196.40875244140625,-196.3253173828125,-195.58074951171875,-196.39837646484375,-195.92791748046875,-195.73870849609375,-196.21514892578125,-196.44232177734375,-195.9656982421875,-195.7762451171875,-196.271728515625,-195.62457275390625,-196.428955078125,-196.22076416015625,-196.08407592773438,-195.9825439453125,-195.7626953125,-195.47979736328125,-196.1298828125,-196.35003662109375,-196.31329345703125,-196.06121826171875,-195.8162841796875,-195.84423828125,-195.89459228515625,-195.66351318359375,-195.91928100585938,-196.1011962890625,-196.2596435546875,-195.86883544921875,-196.38067626953125,-196.3212890625,-196.700927734375,-195.62451171875,-196.02981567382812,-196.27655029296875,-196.09393310546875,-196.41619873046875,-195.874755859375,-195.80511474609375,-195.85089111328125,-195.97467041015625,-196.09689331054688,-196.24346923828125,-196.4906005859375,-196.29400634765625,-196.582275390625,-196.14044189453125,-195.96636962890625,-196.33807373046875,-196.38876342773438,-196.20367431640625,-195.9757080078125,-196.32830810546875,-196.6739501953125,-195.81756591796875,-195.97857666015625,-196.00357055664062,-196.0826416015625,-196.15338134765625,-195.83828735351562,-196.83706665039062,-196.02835083007812,-196.54034423828125,-195.85540771484375,-196.1922607421875,-196.05718994140625,-195.5853271484375,-196.5155029296875,-195.7000732421875,-196.52200317382812
8,-195.5504150390625,-196.014404296875,-195.27081298828125,-196.25067138671875,-196.40948486328125,-196.28460693359375,-195.90484619140625,-196.00411987304688,-195.93988037109375,-196.58978271484375,-196.42568969726562,-196.27792358398438,-196.08526611328125,-195.87353515625,-195.71759033203125,-195.80029296875,-196.228759765625,-196.232421875,-196.39886474609375,-195.86517333984375,-196.41595458984375,-195.80596923828125,-196.006103515625,-196.30120849609375,-196.04241943359375,-195.9947509765625,-196.25726318359375,-195.97552490234375,-196.48355102539062,-195.54638671875,-195.75885009765625,-196.14215087890625,-195.96258544921875,-196.0390625,-196.052490234375,-195.45498657226562,-196.08929443359375,-196.20196533203125,-195.86920166015625,-196.28948974609375,-196.1829833984375,-196.02288818359375,-196.26800537109375,-196.32293701171875,-196.38238525390625,-195.96087646484375,-196.70855712890625,-195.88702392578125,-196.2152099609375,-196.27133178710938,-196.3179931640625,-196.0306396484375,-196.05191040039062,-196.25665283203125,-196.40716552734375,-196.0211181640625,-195.84588623046875,-195.7001953125,-196.48199462890625,-195.95074462890625,-195.94879150390625,-196.11663818359375,-196.00048828125,-195.58148193359375,-195.94900512695312,-195.748779296875,-196.344970703125,-196.59515380859375,-196.32025146484375,-195.8055419921875,-195.91888427734375,-196.10488891601562,-195.52078247070312,-195.76321411132812,-196.16986083984375,-195.60577392578125,-196.31683349609375,-196.10052490234375,-195.89431762695312,-195.75604248046875,-195.84683227539062,-196.0394287109375,-196.22592163085938,-195.96636962890625,-195.55587768554688,-196.033935546875,-195.91522216796875,-196.0650634765625,-195.34136962890625,-195.71148681640625,-195.67657470703125,-196.30303955078125,-196.48651123046875,-196.0797119140625,-195.8082275390625,-196.04180908203125,-196.25396728515625,-196.536376953125,-196.39849853515625,-195.87506103515625
9,-195.9754638671875,-195.8912353515625,-195.71075439453125,-195.97882080078125,-196.01763916015625,-196.19915771484375,-195.46109008789062,-196.38775634765625,-196.27508544921875,-196.25201416015625,-195.98358154296875,-196.1085205078125,-196.087158203125,-196.50030517578125,-196.1312255859375,-195.950439453125,-196.09619140625,-196.0665283203125,-195.54397583007812,-195.96392822265625,-196.2894287109375,-196.41290283203125,-196.06549072265625,-196.09835815429688,-195.76580810546875,-195.9547119140625,-196.1746826171875,-195.92950439453125,-195.9727783203125,-196.07330322265625,-196.13470458984375,-195.86398315429688,-195.939453125,-196.08383178710938,-196.12826538085938,-196.1844482421875,-196.06182861328125,-195.02301025390625,-196.15283203125,-196.021240234375,-196.53204345703125,-196.07711791992188,-195.81097412109375,-196.10540771484375,-196.27410888671875,-196.2977294921875,-196.41754150390625,-195.85491943359375,-195.85955810546875,-196.0452880859375,-195.835205078125,-195.987548828125,-195.89398193359375,-196.02816772460938,-196.20086669921875,-195.89117431640625,-196.28628540039062,-195.71319580078125,-195.4266357421875,-196.39443969726562,-196.40618896484375,-195.7130126953125,-196.2440185546875,-196.1429443359375,-196.11138916015625,-195.59930419921875,-196.31121826171875,-196.1214599609375,-196.19085693359375,-196.35089111328125,-196.1763916015625,-196.1357421875,-196.17822265625,-195.96832275390625,-195.75308227539062,-195.99969482421875,-195.89547729492188,-196.14166259765625,-195.92071533203125,-196.09033203125,-196.18096923828125,-195.96121215820312,-196.00457763671875,-196.08642578125,-196.38119506835938,-195.83941650390625,-195.56478881835938,-195.88531494140625,-196.22894287109375,-195.954345703125,-195.902099609375,-195.90606689453125,-195.61959838867188,-195.72442626953125,-196.3580322265625,-195.981689453125,-195.84829711914062,-196.0240478515625,-195.693115234375,-196.39508056640625
