,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-55.03582763671875,-52.613189697265625,-60.19488525390625,-57.514801025390625,-47.953948974609375,-57.214874267578125,-58.23968505859375,-70.444580078125,-58.73077392578125,-60.53692626953125,-49.1929931640625,-63.241607666015625,-54.795135498046875,-60.142059326171875,-61.138885498046875,-63.80023193359375,-59.0509033203125,-59.031524658203125,-49.0919189453125,-58.0654296875,-60.14459228515625,-54.079925537109375,-58.61236572265625,-56.594085693359375,-50.1964111328125,-54.349639892578125,-60.403228759765625,-52.91412353515625,-56.156768798828125,-54.7174072265625,-62.070556640625,-48.7664794921875,-50.998870849609375,-56.6119384765625,-54.61859130859375,-57.100006103515625,-57.3997802734375,-63.821075439453125,-50.21234130859375,-54.23309326171875,-62.19549560546875,-54.3358154296875,-51.8349609375,-51.15655517578125,-44.7567138671875,-53.674591064453125,-44.601287841796875,-58.297149658203125,-56.739349365234375,-56.9083251953125,-56.967498779296875,-47.5638427734375,-58.1492919921875,-59.4432373046875,-51.49652099609375,-64.0157470703125,-59.180267333984375,-55.9854736328125,-55.921661376953125,-58.65057373046875,-62.956817626953125,-61.790802001953125,-62.99774169921875,-55.890045166015625,-56.65936279296875,-53.945709228515625,-48.770599365234375,-52.416351318359375,-58.19189453125,-53.59149169921875,-56.11260986328125,-59.9073486328125,-54.90826416015625,-61.8040771484375,-57.42706298828125,-60.9052734375,-53.591339111328125,-57.93646240234375,-60.77239990234375,-61.7645263671875,-51.066314697265625,-49.408905029296875,-56.800994873046875,-56.86676025390625,-56.34613037109375,-54.53009033203125,-47.07293701171875,-59.397857666015625,-56.503509521484375,-57.938873291015625,-55.408905029296875,-58.93115234375,-58.32305908203125,-53.8482666015625,-59.9263916015625,-54.02581787109375,-56.033233642578125,-59.69952392578125,-67.46978759765625,-55.979278564453125
1,-138.164306640625,-131.7552490234375,-128.61306762695312,-125.92510986328125,-133.79336547851562,-133.30670166015625,-138.38385009765625,-133.04238891601562,-128.0054931640625,-134.12033081054688,-133.2806396484375,-128.06362915039062,-134.0157470703125,-132.22653198242188,-133.42123413085938,-136.80792236328125,-130.40025329589844,-132.0110321044922,-128.831787109375,-123.27392578125,-124.53564453125,-127.1845703125,-143.90292358398438,-127.24722290039062,-124.29302978515625,-133.35357666015625,-133.28521728515625,-130.02374267578125,-136.03567504882812,-133.57623291015625,-132.6878204345703,-133.92904663085938,-130.224609375,-128.89083862304688,-131.4293212890625,-140.082275390625,-123.87872314453125,-140.18798828125,-127.00411987304688,-132.51968383789062,-134.703369140625,-133.28408813476562,-135.88575744628906,-131.7568359375,-130.3358154296875,-134.26229858398438,-130.92730712890625,-134.90951538085938,-138.46841430664062,-124.67864990234375,-136.76953125,-136.60552978515625,-133.79605102539062,-129.7156982421875,-128.6033935546875,-125.69085693359375,-134.5318603515625,-125.254150390625,-138.77293395996094,-136.9716796875,-126.88375854492188,-129.65054321289062,-138.9829864501953,-128.45257568359375,-131.70028686523438,-132.40744018554688,-123.15829467773438,-133.393310546875,-130.85775756835938,-133.223876953125,-133.17190551757812,-125.09963989257812,-132.2098388671875,-129.58839416503906,-132.48831176757812,-146.0322265625,-137.90386962890625,-133.97225952148438,-131.29510498046875,-124.06619262695312,-122.338623046875,-139.89596557617188,-132.42657470703125,-125.80755615234375,-131.15463256835938,-132.21170043945312,-126.70361328125,-129.92227172851562,-141.654052734375,-132.15869140625,-135.07571411132812,-135.57415771484375,-133.44668579101562,-130.76461791992188,-125.85910034179688,-125.80810546875,-141.68511962890625,-126.14105224609375,-131.24005126953125,-137.09707641601562
2,-176.84368896484375,-173.2808074951172,-176.17042541503906,-175.78158569335938,-179.37973022460938,-175.515869140625,-171.98756408691406,-170.85882568359375,-174.2596435546875,-174.93470764160156,-166.07015991210938,-171.7494659423828,-184.0572509765625,-178.36082458496094,-176.82264709472656,-178.42474365234375,-179.3710174560547,-172.82589721679688,-177.6772918701172,-169.93099975585938,-169.82449340820312,-169.875,-182.49948120117188,-180.58047485351562,-178.14434814453125,-182.5508270263672,-172.7936248779297,-186.34060668945312,-171.49966430664062,-181.45948791503906,-183.70333862304688,-178.4525604248047,-172.06494140625,-172.86663818359375,-178.9776153564453,-177.84210205078125,-178.26983642578125,-174.62118530273438,-168.1345977783203,-173.47479248046875,-172.19784545898438,-184.8065643310547,-167.46383666992188,-178.02528381347656,-174.5183563232422,-183.22772216796875,-170.53628540039062,-169.25466918945312,-174.76699829101562,-167.2239990234375,-177.463623046875,-180.3739776611328,-180.5992431640625,-171.95843505859375,-170.94967651367188,-175.3689727783203,-176.366455078125,-176.01158142089844,-175.43040466308594,-176.7552947998047,-179.13710021972656,-176.28216552734375,-185.02723693847656,-169.83827209472656,-171.15272521972656,-170.16162109375,-170.4644775390625,-172.44264221191406,-176.09109497070312,-174.73243713378906,-177.40728759765625,-177.51303100585938,-172.3546142578125,-173.48196411132812,-167.14608764648438,-179.1248016357422,-169.546875,-174.45016479492188,-180.1434326171875,-172.85629272460938,-168.538330078125,-172.62594604492188,-170.26187133789062,-172.3160400390625,-180.1444091796875,-174.35287475585938,-174.29537963867188,-176.947265625,-170.86215209960938,-175.24188232421875,-168.13604736328125,-181.46652221679688,-183.73358154296875,-173.1694793701172,-175.18267822265625,-180.75018310546875,-174.177734375,-179.594482421875,-171.84967041015625,-178.37942504882812
3,-206.60031127929688,-204.22128295898438,-204.6588592529297,-206.78085327148438,-198.1459197998047,-203.87689208984375,-209.71014404296875,-211.11825561523438,-200.23362731933594,-211.69692993164062,-199.69171142578125,-203.12088012695312,-206.29934692382812,-202.54257202148438,-208.04739379882812,-203.57647705078125,-206.5079803466797,-207.76235961914062,-200.13055419921875,-202.12271118164062,-203.3412628173828,-205.2938232421875,-198.15724182128906,-199.99063110351562,-204.119873046875,-200.53460693359375,-206.35154724121094,-197.2413330078125,-205.41397094726562,-203.41505432128906,-198.756103515625,-207.42926025390625,-201.86871337890625,-205.252685546875,-201.83399963378906,-202.71328735351562,-202.37962341308594,-206.61453247070312,-201.95529174804688,-205.19009399414062,-205.33734130859375,-202.11337280273438,-206.332275390625,-200.12734985351562,-203.11563110351562,-202.01885986328125,-201.43191528320312,-207.1957244873047,-201.92752075195312,-209.22268676757812,-197.02310180664062,-209.5069122314453,-211.4628448486328,-209.6544189453125,-195.9496612548828,-201.98910522460938,-207.85302734375,-202.57777404785156,-208.18690490722656,-201.53778076171875,-203.19317626953125,-200.874755859375,-200.22799682617188,-207.84437561035156,-201.33477783203125,-200.34164428710938,-209.16287231445312,-195.37918090820312,-193.37661743164062,-201.5015869140625,-202.1554718017578,-206.7347412109375,-198.8933563232422,-198.85028076171875,-207.53060913085938,-203.5809326171875,-206.22085571289062,-201.62399291992188,-210.14825439453125,-201.1940460205078,-199.50906372070312,-199.90606689453125,-201.5745086669922,-205.33944702148438,-203.48838806152344,-206.34303283691406,-203.89955139160156,-197.00082397460938,-201.11868286132812,-197.03958129882812,-199.7483673095703,-206.97836303710938,-202.624267578125,-200.53126525878906,-209.22364807128906,-202.49884033203125,-199.89930725097656,-197.58218383789062,-205.98858642578125,-197.59742736816406
4,-216.203125,-220.2597198486328,-226.29298400878906,-220.25845336914062,-219.55091857910156,-214.42755126953125,-220.45742797851562,-218.9232177734375,-220.04620361328125,-228.25552368164062,-227.38369750976562,-223.45306396484375,-217.26156616210938,-226.03326416015625,-224.82754516601562,-225.53855895996094,-223.9803466796875,-226.70547485351562,-218.55191040039062,-222.9564666748047,-216.83367919921875,-221.9229736328125,-217.35260009765625,-224.18443298339844,-223.89016723632812,-219.78871154785156,-224.41653442382812,-224.7012481689453,-214.70761108398438,-219.94271850585938,-222.3203582763672,-218.5882568359375,-220.98263549804688,-218.3752899169922,-213.05068969726562,-217.1002197265625,-218.99742126464844,-218.37335205078125,-220.5702667236328,-212.97360229492188,-220.19642639160156,-223.03297424316406,-219.30943298339844,-221.88914489746094,-221.96463012695312,-220.05624389648438,-217.5872344970703,-213.1902618408203,-218.42388916015625,-225.0929412841797,-221.95159912109375,-217.8443603515625,-221.6800079345703,-218.84701538085938,-226.3234405517578,-224.2474822998047,-224.40109252929688,-218.9901580810547,-220.03565979003906,-221.4371337890625,-224.76980590820312,-220.41737365722656,-215.11380004882812,-221.782958984375,-211.45236206054688,-219.16021728515625,-224.51458740234375,-224.16192626953125,-222.91622924804688,-222.12811279296875,-217.87356567382812,-218.34262084960938,-217.09161376953125,-215.84100341796875,-217.08392333984375,-225.33908081054688,-223.31541442871094,-221.7823486328125,-214.61952209472656,-224.3614959716797,-222.17910766601562,-228.42303466796875,-218.4535675048828,-216.82217407226562,-219.401611328125,-217.62860107421875,-226.48556518554688,-220.87574768066406,-217.88951110839844,-217.36814880371094,-219.01858520507812,-215.55514526367188,-219.3612060546875,-214.79275512695312,-221.65447998046875,-213.54937744140625,-218.92782592773438,-215.97598266601562,-217.47325134277344,-212.94522094726562
5,-230.79071044921875,-235.50067138671875,-233.31552124023438,-232.15020751953125,-232.90170288085938,-231.95040893554688,-228.00778198242188,-230.15017700195312,-228.77723693847656,-233.8512420654297,-233.442138671875,-227.40098571777344,-230.9947509765625,-228.4739990234375,-230.82705688476562,-230.77337646484375,-238.4630126953125,-231.59056091308594,-237.07431030273438,-227.18161010742188,-229.33444213867188,-234.8585205078125,-236.82064819335938,-230.21795654296875,-233.04757690429688,-230.19424438476562,-228.72213745117188,-225.86277770996094,-231.1031494140625,-231.02545166015625,-230.94830322265625,-229.02816772460938,-233.4097900390625,-236.2980194091797,-229.85183715820312,-230.19754028320312,-235.138916015625,-237.40255737304688,-231.8868408203125,-232.20388793945312,-226.70156860351562,-237.47103881835938,-232.45809936523438,-236.27398681640625,-234.31214904785156,-231.9726104736328,-240.34130859375,-233.3122100830078,-236.48583984375,-233.48770141601562,-232.93099975585938,-229.72445678710938,-225.49151611328125,-238.14358520507812,-231.1428680419922,-228.99977111816406,-236.1371612548828,-228.88876342773438,-232.25291442871094,-229.7271728515625,-232.4683837890625,-231.6742706298828,-230.25030517578125,-235.09063720703125,-235.20579528808594,-227.3172607421875,-230.92970275878906,-233.6116485595703,-226.28041076660156,-234.29696655273438,-231.8582305908203,-232.98275756835938,-231.32130432128906,-232.2445068359375,-231.00588989257812,-230.65643310546875,-231.64739990234375,-230.67214965820312,-233.50436401367188,-228.28851318359375,-234.23336791992188,-240.9561767578125,-237.3174591064453,-230.78619384765625,-231.51841735839844,-233.90463256835938,-233.7911834716797,-226.60440063476562,-236.5673065185547,-231.10562133789062,-233.5650634765625,-234.85226440429688,-228.74517822265625,-235.92642211914062,-233.70721435546875,-234.78712463378906,-229.56015014648438,-233.68751525878906,-235.96902465820312,-238.1031036376953
6,-239.39732360839844,-239.93551635742188,-238.8352508544922,-240.27561950683594,-241.66714477539062,-240.37701416015625,-241.04229736328125,-236.66357421875,-241.14470672607422,-233.90701293945312,-242.6598129272461,-244.4836654663086,-243.050048828125,-235.12637329101562,-240.11660766601562,-239.00604248046875,-239.97991943359375,-240.2274627685547,-239.9634246826172,-239.87039184570312,-235.04676818847656,-236.0604705810547,-240.78888702392578,-247.29676818847656,-242.17298889160156,-246.37722778320312,-245.36536407470703,-238.7147674560547,-240.48189544677734,-242.00894165039062,-240.1684112548828,-241.73056030273438,-243.9275360107422,-239.1929473876953,-240.89468383789062,-238.8890609741211,-246.8157958984375,-244.51458740234375,-239.768798828125,-239.50634765625,-243.0093536376953,-241.25022888183594,-245.21876525878906,-241.47672271728516,-244.44651794433594,-243.38487243652344,-241.33889770507812,-244.05465698242188,-237.27523803710938,-239.5797348022461,-242.78167724609375,-240.34634399414062,-242.56204223632812,-243.56946563720703,-239.67911529541016,-238.165771484375,-240.0713653564453,-237.60012817382812,-242.84503936767578,-239.93597412109375,-244.16200256347656,-238.9214859008789,-240.59707641601562,-240.95692443847656,-244.07839965820312,-242.4151611328125,-246.3393325805664,-239.13880920410156,-245.0089874267578,-242.25338745117188,-243.38278198242188,-242.84935760498047,-241.79290771484375,-238.20000457763672,-243.6690673828125,-240.79562377929688,-243.57849884033203,-243.2904815673828,-237.73377990722656,-235.27651977539062,-238.54161071777344,-244.7606964111328,-237.1925277709961,-241.22793579101562,-245.4423065185547,-244.947998046875,-244.71958923339844,-240.23928833007812,-243.26952362060547,-246.08282470703125,-240.4951934814453,-246.36363220214844,-240.30654907226562,-241.09246826171875,-238.55209350585938,-246.11859130859375,-244.4832000732422,-235.7004852294922,-242.16720581054688,-243.88316345214844
7,-249.35548400878906,-249.80030822753906,-248.19845581054688,-245.8860855102539,-252.7952423095703,-251.1699447631836,-249.63567352294922,-251.71558380126953,-244.9095687866211,-243.32301330566406,-248.66038513183594,-246.13656616210938,-246.93173217773438,-248.87930297851562,-248.43455505371094,-248.48489379882812,-254.6028289794922,-250.47970581054688,-247.52164459228516,-249.50750732421875,-247.94937896728516,-243.9235382080078,-245.4369888305664,-252.04810333251953,-248.2315673828125,-246.73326110839844,-250.97002410888672,-243.8344268798828,-245.81739807128906,-248.74424743652344,-248.48281860351562,-250.64644622802734,-246.29000854492188,-245.89158630371094,-250.56051635742188,-248.4132537841797,-255.3832244873047,-251.76482391357422,-250.05934143066406,-250.14083862304688,-250.17855834960938,-246.9439239501953,-247.33627319335938,-250.6669692993164,-254.3077850341797,-250.74593353271484,-252.43846130371094,-251.24199676513672,-250.55126953125,-248.8069839477539,-247.60516357421875,-247.51055908203125,-242.5624542236328,-242.347900390625,-247.55181884765625,-249.91432189941406,-250.07545471191406,-245.437255859375,-246.19415283203125,-251.08345794677734,-247.8651885986328,-250.78138732910156,-247.59226989746094,-247.97653198242188,-246.81185913085938,-251.48910522460938,-249.34734344482422,-254.17684936523438,-247.55335235595703,-244.75296783447266,-249.18929290771484,-244.78817749023438,-244.55619049072266,-245.6647720336914,-246.88873291015625,-249.09100341796875,-243.538330078125,-251.3130340576172,-248.105224609375,-247.20174407958984,-252.40673828125,-252.89295959472656,-251.3057403564453,-251.3839111328125,-251.85643768310547,-248.20785522460938,-249.1458969116211,-250.95059967041016,-249.4075164794922,-248.93121337890625,-247.5794906616211,-247.44014739990234,-246.9757843017578,-250.4767303466797,-247.90870666503906,-250.7812042236328,-250.79031372070312,-250.64331817626953,-249.17119598388672,-244.92166137695312
8,-256.8287658691406,-255.73391723632812,-255.35069274902344,-258.26944732666016,-253.21865844726562,-264.5603485107422,-253.76759338378906,-257.4645080566406,-256.98773193359375,-257.49639892578125,-258.2884826660156,-254.07192993164062,-254.51434326171875,-253.23247528076172,-257.9962921142578,-257.7396697998047,-257.6859664916992,-257.50852966308594,-260.59654998779297,-255.01148223876953,-255.7298126220703,-256.0690612792969,-254.07827758789062,-252.2071533203125,-257.11415100097656,-256.31988525390625,-256.2962188720703,-260.31959533691406,-255.29315185546875,-255.3586883544922,-251.8516845703125,-251.1244354248047,-252.60426330566406,-256.2739028930664,-256.5268249511719,-255.85709381103516,-252.55817413330078,-257.8360595703125,-249.32894897460938,-254.6312255859375,-255.890380859375,-252.76092529296875,-256.5867462158203,-251.68085479736328,-253.16033935546875,-256.3162612915039,-257.72412109375,-254.77025604248047,-256.0291061401367,-251.46837615966797,-257.7713165283203,-254.62010955810547,-257.0245666503906,-255.64763641357422,-251.76455688476562,-258.4968566894531,-256.32401275634766,-256.8318634033203,-249.5411605834961,-255.41162109375,-253.94570922851562,-254.70489501953125,-256.60926818847656,-255.7697296142578,-253.96881866455078,-256.82887268066406,-253.9469757080078,-254.33755493164062,-254.52178955078125,-252.33114624023438,-250.94729614257812,-255.33893585205078,-258.81983947753906,-252.71459197998047,-251.3040313720703,-254.68678283691406,-255.2234115600586,-256.5363006591797,-254.4490966796875,-259.5072784423828,-257.6604232788086,-253.39044189453125,-258.45006561279297,-258.6184997558594,-256.8709487915039,-253.78301239013672,-252.98117065429688,-252.9380645751953,-252.4930419921875,-249.29021453857422,-253.32615661621094,-249.0948028564453,-251.64837646484375,-257.1734619140625,-250.5031280517578,-251.66845703125,-255.05928802490234,-253.48883056640625,-257.56201171875,-252.34689331054688
9,-258.3170700073242,-263.1690444946289,-262.0301055908203,-256.27081298828125,-260.8622589111328,-259.0352325439453,-262.57969665527344,-263.9348831176758,-255.2071762084961,-263.37135314941406,-267.45518493652344,-258.45714569091797,-260.2700500488281,-262.0025939941406,-264.0950469970703,-258.53041076660156,-259.80728912353516,-259.3601837158203,-261.54100799560547,-261.8720474243164,-257.25148010253906,-261.9444580078125,-260.23609924316406,-259.27323150634766,-259.0736083984375,-263.36863708496094,-258.96302795410156,-259.4629364013672,-259.08109283447266,-261.9292907714844,-256.96427154541016,-258.1943359375,-261.02579498291016,-256.93003845214844,-259.5798645019531,-256.47718048095703,-262.45550537109375,-256.5975341796875,-257.27012634277344,-262.3463363647461,-258.9268112182617,-261.6886901855469,-259.75352478027344,-260.4380645751953,-258.0110168457031,-266.29689025878906,-264.88006591796875,-260.33878326416016,-261.2399215698242,-263.4873809814453,-259.25623321533203,-263.7172546386719,-264.5634994506836,-259.4401550292969,-260.7886505126953,-258.6536407470703,-254.55543518066406,-259.44898223876953,-257.8567428588867,-257.3419418334961,-259.4855194091797,-259.92665100097656,-260.20533752441406,-253.2978515625,-258.7960510253906,-261.82611083984375,-260.72210693359375,-260.3264923095703,-259.565185546875,-258.02989196777344,-266.8390426635742,-261.6584167480469,-256.41593170166016,-261.2971954345703,-256.95287322998047,-257.7588348388672,-255.5041961669922,-260.5496292114258,-261.6670684814453,-254.34056854248047,-258.4656219482422,-259.38697052001953,-261.1468276977539,-262.44602966308594,-261.95550537109375,-261.91505432128906,-256.7201232910156,-259.2013854980469,-262.3908996582031,-264.21958923339844,-254.99986267089844,-261.84498596191406,-261.88902282714844,-260.3350524902344,-259.5119400024414,-261.36663818359375,-258.33323669433594,-258.29483795166016,-262.0055618286133,-262.3257293701172
