,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-191.97265625,-233.3046875,-195.515625,-187.671875,-186.21484375,-187.17578125,-199.404296875,-166.6640625,-186.59375,-166.296875,-199.328125,-180.71484375,-187.326171875,-183.857421875,-198.95703125,-185.375,-172.453125,-196.595703125,-173.759765625,-198.658203125,-154.87109375,-199.154296875,-191.251953125,-179.263671875,-186.05078125,-209.14453125,-186.85546875,-174.970703125,-213.3515625,-179.45703125,-169.86328125,-176.654296875,-187.494140625,-185.2578125,-182.53125,-196.173828125,-183.697265625,-165.673828125,-211.80078125,-174.16015625,-196.1328125,-163.64453125,-178.435546875,-205.375,-180.73828125,-198.853515625,-211.0625,-191.953125,-149.96875,-186.140625,-174.23828125,-201.76953125,-183.068359375,-179.39453125,-204.80859375,-185.01171875,-210.138671875,-155.6171875,-151.41015625,-183.10546875,-179.185546875,-192.326171875,-178.26171875,-180.033203125,-189.896484375,-175.3671875,-190.44921875,-186.0,-194.130859375,-188.427734375,-213.1875,-190.59765625,-202.494140625,-171.724609375,-181.486328125,-202.966796875,-193.021484375,-179.06640625,-201.755859375,-180.51171875,-182.166015625,-151.578125,-190.947265625,-176.7578125,-193.181640625,-196.6015625,-198.47265625,-204.83203125,-159.21875,-205.80078125,-176.03125,-167.65625,-182.7734375,-183.0,-168.00390625,-200.498046875,-176.28515625,-203.8828125,-197.197265625,-186.4609375
1,-406.55859375,-404.572265625,-354.74609375,-369.45703125,-402.32421875,-409.2734375,-385.091796875,-369.94921875,-387.650390625,-428.3359375,-409.310546875,-391.9453125,-381.28125,-380.693359375,-414.29296875,-376.89453125,-368.205078125,-381.306640625,-414.33203125,-371.84765625,-363.408203125,-393.53515625,-371.66015625,-386.78515625,-396.9921875,-423.29296875,-391.95703125,-369.205078125,-403.35546875,-369.96484375,-394.685546875,-409.4921875,-373.978515625,-347.015625,-376.587890625,-347.04296875,-359.322265625,-424.50390625,-418.8203125,-377.81640625,-371.25,-360.6328125,-361.90234375,-381.4609375,-379.724609375,-319.453125,-398.244140625,-380.515625,-367.2578125,-409.78515625,-407.421875,-358.98046875,-403.943359375,-370.25390625,-386.46875,-416.654296875,-379.55078125,-408.345703125,-402.337890625,-374.291015625,-387.84375,-372.287109375,-384.58984375,-385.66015625,-365.814453125,-383.482421875,-376.51171875,-396.783203125,-353.89453125,-365.76171875,-394.634765625,-380.08203125,-379.28125,-357.57421875,-378.0078125,-365.951171875,-398.474609375,-376.2890625,-388.91015625,-356.5859375,-410.791015625,-400.951171875,-366.744140625,-404.009765625,-354.751953125,-399.658203125,-349.333984375,-416.744140625,-382.46484375,-357.50390625,-375.447265625,-382.1328125,-393.49609375,-368.41796875,-345.56640625,-370.646484375,-359.90625,-398.53515625,-410.361328125,-383.71484375
2,-568.576171875,-554.32421875,-566.20703125,-591.876953125,-623.275390625,-599.525390625,-579.736328125,-611.25390625,-576.1796875,-569.767578125,-605.3984375,-582.95703125,-562.923828125,-584.4453125,-578.345703125,-600.900390625,-597.419921875,-624.263671875,-634.5703125,-525.61328125,-586.95703125,-594.994140625,-585.8203125,-624.390625,-568.2578125,-597.978515625,-591.642578125,-608.10546875,-593.7890625,-557.318359375,-592.150390625,-587.708984375,-551.044921875,-594.779296875,-578.255859375,-593.04296875,-622.177734375,-564.26171875,-607.255859375,-590.822265625,-611.619140625,-624.703125,-546.4921875,-599.65234375,-613.89453125,-611.173828125,-568.63671875,-598.13671875,-571.984375,-579.21484375,-553.25390625,-575.046875,-558.0234375,-591.125,-574.326171875,-586.85546875,-586.9609375,-553.140625,-590.611328125,-562.59765625,-594.935546875,-583.6328125,-554.3125,-600.3828125,-559.908203125,-605.67578125,-603.0078125,-602.798828125,-536.78515625,-643.802734375,-578.61328125,-589.02734375,-610.01953125,-560.892578125,-592.185546875,-586.9609375,-601.90625,-562.10546875,-554.216796875,-595.97265625,-587.048828125,-604.1796875,-566.5859375,-584.251953125,-597.33203125,-602.62109375,-570.04296875,-646.75,-579.708984375,-554.21875,-533.05078125,-602.787109375,-563.47265625,-562.1796875,-559.6171875,-591.0859375,-602.6484375,-610.216796875,-630.6875,-566.126953125
3,-742.724609375,-778.97265625,-824.162109375,-787.572265625,-828.5859375,-755.60546875,-769.265625,-809.41796875,-796.462890625,-787.005859375,-748.837890625,-784.806640625,-767.833984375,-763.052734375,-756.19921875,-787.58984375,-746.3125,-765.66796875,-815.6171875,-810.3359375,-766.23828125,-776.51953125,-737.1171875,-709.32421875,-772.298828125,-823.185546875,-790.423828125,-802.220703125,-757.927734375,-811.84375,-804.49609375,-756.48046875,-745.578125,-812.62890625,-822.6015625,-834.38671875,-779.89453125,-793.65625,-753.51953125,-727.236328125,-742.58203125,-800.076171875,-766.599609375,-812.68359375,-740.828125,-794.919921875,-819.53125,-797.7421875,-755.35546875,-746.11328125,-771.345703125,-804.521484375,-814.931640625,-761.234375,-852.392578125,-749.44921875,-771.154296875,-751.32421875,-752.484375,-800.47265625,-813.40234375,-735.142578125,-766.52734375,-751.720703125,-754.64453125,-789.96875,-779.26953125,-800.5078125,-788.263671875,-747.36328125,-790.2578125,-751.837890625,-811.95703125,-783.966796875,-809.03515625,-758.84765625,-756.71875,-835.875,-778.900390625,-758.45703125,-744.4921875,-772.5625,-723.75,-711.8515625,-783.888671875,-757.423828125,-775.490234375,-787.0078125,-821.595703125,-772.76953125,-801.1171875,-770.953125,-788.48828125,-814.37890625,-830.828125,-804.1171875,-791.43359375,-767.296875,-810.88671875,-820.166015625
4,-981.970703125,-984.76953125,-956.642578125,-1008.80078125,-1009.134765625,-966.041015625,-993.515625,-1002.859375,-1024.515625,-995.146484375,-970.3203125,-999.4765625,-957.0859375,-991.298828125,-952.546875,-992.744140625,-981.181640625,-992.013671875,-1019.37890625,-953.498046875,-1012.8203125,-1030.173828125,-980.65625,-926.060546875,-1029.396484375,-946.458984375,-971.8984375,-984.794921875,-965.783203125,-946.02734375,-1025.40234375,-949.943359375,-954.990234375,-1013.658203125,-999.77734375,-949.197265625,-1003.296875,-1003.791015625,-1000.142578125,-969.201171875,-915.73046875,-974.09375,-995.005859375,-953.77734375,-1009.1640625,-946.923828125,-991.056640625,-968.73046875,-890.44921875,-990.681640625,-1044.4765625,-903.44140625,-971.8046875,-995.57421875,-988.216796875,-972.34765625,-917.0078125,-999.515625,-985.755859375,-885.912109375,-968.744140625,-988.27734375,-1000.578125,-988.072265625,-1024.802734375,-986.357421875,-945.64453125,-1012.578125,-966.6171875,-1013.3125,-916.333984375,-997.97265625,-943.45703125,-970.736328125,-983.185546875,-958.24609375,-974.849609375,-953.302734375,-988.84375,-987.11328125,-1000.291015625,-981.20703125,-948.212890625,-893.05859375,-953.802734375,-999.833984375,-1029.279296875,-1005.021484375,-978.2578125,-987.95703125,-969.740234375,-987.671875,-950.41015625,-923.7890625,-972.404296875,-979.40234375,-1056.32421875,-1007.091796875,-986.0703125,-1004.384765625
5,-1199.740234375,-1125.0244140625,-1196.5615234375,-1189.505859375,-1152.884765625,-1128.6845703125,-1166.025390625,-1167.98828125,-1146.796875,-1192.935546875,-1106.515625,-1125.814453125,-1188.119140625,-1131.08984375,-1278.658203125,-1161.9140625,-1183.361328125,-1135.6259765625,-1108.923828125,-1189.732421875,-1221.845703125,-1181.72265625,-1155.625,-1124.8037109375,-1156.349609375,-1203.380859375,-1054.67578125,-1159.5751953125,-1172.0234375,-1107.73046875,-1216.3857421875,-1132.451171875,-1171.5908203125,-1171.564453125,-1121.9140625,-1176.5859375,-1174.0986328125,-1132.8759765625,-1117.5478515625,-1162.55078125,-1169.29296875,-1133.736328125,-1153.390625,-1130.462890625,-1162.689453125,-1171.9375,-1166.505859375,-1150.8173828125,-1129.4951171875,-1201.642578125,-1193.962890625,-1177.109375,-1173.79296875,-1164.275390625,-1128.09375,-1193.853515625,-1142.9140625,-1137.96875,-1176.26953125,-1177.2275390625,-1168.662109375,-1106.931640625,-1161.513671875,-1176.5087890625,-1094.837890625,-1181.853515625,-1133.880859375,-1237.4658203125,-1175.888671875,-1166.078125,-1111.091796875,-1200.7119140625,-1150.4609375,-1165.123046875,-1193.912109375,-1176.271484375,-1148.33984375,-1189.9306640625,-1184.16796875,-1097.94140625,-1139.0,-1158.0810546875,-1167.20703125,-1151.2783203125,-1134.435546875,-1206.841796875,-1161.634765625,-1175.41796875,-1184.953125,-1144.888671875,-1012.638671875,-1108.556640625,-1118.85546875,-1160.8125,-1124.34765625,-1170.806640625,-1215.740234375,-1231.8310546875,-1217.6171875,-1130.244140625
6,-1340.34375,-1279.4609375,-1302.322265625,-1297.099609375,-1282.767578125,-1246.349609375,-1320.048828125,-1372.6982421875,-1328.4970703125,-1290.046875,-1304.013671875,-1321.58984375,-1350.4296875,-1351.4375,-1307.212890625,-1302.7314453125,-1250.67578125,-1328.638671875,-1342.8984375,-1348.552734375,-1323.8037109375,-1284.962890625,-1300.1123046875,-1290.5849609375,-1321.2021484375,-1279.2529296875,-1291.19140625,-1301.189453125,-1341.498046875,-1303.3017578125,-1355.630859375,-1276.70703125,-1325.75390625,-1277.5625,-1293.9140625,-1335.5146484375,-1337.39453125,-1285.49609375,-1369.34765625,-1382.80078125,-1285.228515625,-1291.3779296875,-1373.5185546875,-1330.271484375,-1342.0517578125,-1350.130859375,-1328.1201171875,-1364.2314453125,-1302.39453125,-1305.251953125,-1343.7646484375,-1276.0576171875,-1333.29296875,-1325.0283203125,-1355.375,-1328.5234375,-1276.478515625,-1319.7333984375,-1351.263671875,-1336.8515625,-1348.630859375,-1345.427734375,-1340.734375,-1355.7568359375,-1272.33984375,-1312.564453125,-1356.82421875,-1309.69921875,-1365.470703125,-1288.5908203125,-1295.681640625,-1380.8349609375,-1299.283203125,-1277.181640625,-1310.5615234375,-1347.125,-1280.2900390625,-1315.6513671875,-1320.2490234375,-1326.103515625,-1310.61328125,-1337.7744140625,-1402.501953125,-1338.724609375,-1324.615234375,-1312.79296875,-1312.345703125,-1269.466796875,-1307.8212890625,-1287.568359375,-1274.1220703125,-1363.6123046875,-1319.947265625,-1340.392578125,-1357.916015625,-1302.9072265625,-1326.4833984375,-1317.1005859375,-1289.9111328125,-1365.5859375
7,-1514.529296875,-1485.177734375,-1536.48828125,-1474.4609375,-1469.6533203125,-1473.21875,-1515.595703125,-1356.9013671875,-1465.82421875,-1446.37109375,-1388.3330078125,-1453.8388671875,-1433.75390625,-1484.431640625,-1456.15234375,-1514.9453125,-1541.5126953125,-1460.59375,-1486.373046875,-1414.556640625,-1448.3291015625,-1419.8876953125,-1471.85546875,-1509.7314453125,-1480.2734375,-1425.2431640625,-1453.83984375,-1469.6279296875,-1474.005859375,-1459.6064453125,-1470.8623046875,-1562.908203125,-1452.716796875,-1497.529296875,-1440.2109375,-1524.4931640625,-1448.44140625,-1399.33984375,-1458.32421875,-1451.158203125,-1463.48046875,-1541.826171875,-1503.8115234375,-1452.115234375,-1474.8046875,-1502.833984375,-1486.654296875,-1470.62890625,-1503.9599609375,-1453.0703125,-1457.716796875,-1419.9951171875,-1486.908203125,-1460.40234375,-1493.3046875,-1525.263671875,-1432.6181640625,-1521.634765625,-1479.5146484375,-1430.873046875,-1527.2890625,-1449.193359375,-1446.2353515625,-1404.17578125,-1452.705078125,-1458.421875,-1447.90234375,-1463.3671875,-1445.1142578125,-1472.7734375,-1482.3310546875,-1451.8095703125,-1418.455078125,-1434.869140625,-1442.166015625,-1420.3671875,-1441.576171875,-1434.318359375,-1478.2939453125,-1437.224609375,-1409.375,-1426.6982421875,-1455.943359375,-1480.025390625,-1454.685546875,-1496.064453125,-1375.728515625,-1381.310546875,-1488.486328125,-1472.853515625,-1463.66796875,-1468.6796875,-1471.322265625,-1448.5244140625,-1406.0302734375,-1445.6865234375,-1519.6142578125,-1477.92578125,-1457.5576171875,-1489.5830078125
8,-1578.595703125,-1626.583984375,-1560.9375,-1680.2158203125,-1627.7607421875,-1728.33984375,-1610.587890625,-1666.6904296875,-1664.93359375,-1594.189453125,-1601.234375,-1602.1953125,-1662.408203125,-1629.994140625,-1586.873046875,-1580.32421875,-1628.498046875,-1614.1279296875,-1620.1640625,-1618.064453125,-1588.64453125,-1660.5634765625,-1558.404296875,-1644.6591796875,-1679.8359375,-1577.7548828125,-1660.482421875,-1659.0517578125,-1538.65625,-1638.12890625,-1609.501953125,-1638.53125,-1614.4755859375,-1640.7275390625,-1614.4931640625,-1592.9345703125,-1515.291015625,-1570.201171875,-1595.7275390625,-1600.5029296875,-1572.044921875,-1582.55859375,-1565.1103515625,-1611.4404296875,-1581.41796875,-1677.45703125,-1655.640625,-1563.080078125,-1668.4296875,-1646.359375,-1621.4267578125,-1631.912109375,-1639.6318359375,-1715.1259765625,-1706.8876953125,-1625.1201171875,-1610.908203125,-1684.1591796875,-1631.1220703125,-1554.751953125,-1637.0283203125,-1648.33203125,-1606.6455078125,-1566.34765625,-1650.5078125,-1674.544921875,-1611.748046875,-1614.544921875,-1671.9765625,-1616.822265625,-1591.2109375,-1597.408203125,-1579.9091796875,-1612.416015625,-1622.5283203125,-1611.201171875,-1629.60546875,-1594.18359375,-1672.8125,-1604.875,-1552.328125,-1657.8037109375,-1620.3828125,-1465.9052734375,-1582.208984375,-1547.51171875,-1574.15234375,-1543.525390625,-1589.25390625,-1631.2734375,-1587.8330078125,-1629.072265625,-1568.23046875,-1433.8671875,-1590.91015625,-1603.314453125,-1589.2001953125,-1651.8994140625,-1675.662109375,-1587.724609375
9,-1800.2724609375,-1833.646484375,-1814.181640625,-1778.0380859375,-1650.5517578125,-1730.6953125,-1679.82421875,-1821.525390625,-1701.36328125,-1813.9169921875,-1866.150390625,-1695.58984375,-1678.1650390625,-1789.484375,-1748.2138671875,-1771.830078125,-1759.0654296875,-1728.6552734375,-1801.0927734375,-1794.8037109375,-1739.322265625,-1724.986328125,-1726.2607421875,-1804.8515625,-1685.5,-1820.58984375,-1685.658203125,-1803.470703125,-1775.8974609375,-1747.3671875,-1753.9716796875,-1776.138671875,-1669.0576171875,-1827.326171875,-1827.634765625,-1792.037109375,-1800.96484375,-1768.24609375,-1787.2216796875,-1846.3515625,-1756.37109375,-1838.5859375,-1818.2294921875,-1821.32421875,-1819.259765625,-1776.7890625,-1778.65625,-1834.9931640625,-1773.4501953125,-1822.767578125,-1716.140625,-1814.2861328125,-1716.0703125,-1688.380859375,-1786.958984375,-1774.7685546875,-1796.677734375,-1734.9794921875,-1756.373046875,-1685.685546875,-1682.447265625,-1709.5830078125,-1681.072265625,-1768.279296875,-1692.3916015625,-1756.859375,-1797.62890625,-1853.640625,-1799.5703125,-1737.572265625,-1746.669921875,-1735.205078125,-1801.6552734375,-1711.45703125,-1802.6201171875,-1752.775390625,-1775.0078125,-1704.765625,-1861.265625,-1698.46875,-1748.634765625,-1854.0498046875,-1755.912109375,-1809.87890625,-1740.439453125,-1691.771484375,-1710.341796875,-1779.794921875,-1738.2060546875,-1771.1025390625,-1846.970703125,-1716.462890625,-1709.9140625,-1688.994140625,-1719.7353515625,-1752.2314453125,-1687.4609375,-1745.17578125,-1537.630859375,-1705.6865234375
