,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,467.25390625,350.572265625,362.96875,411.1328125,332.9765625,406.09375,329.080078125,362.09765625,386.595703125,335.849609375,412.26953125,360.763671875,410.28515625,375.021484375,340.77734375,287.38671875,288.802734375,367.890625,356.544921875,383.16015625,350.1328125,307.16015625,305.72265625,375.037109375,326.62890625,351.8359375,402.888671875,310.572265625,447.416015625,313.78515625,369.87109375,309.28515625,284.17578125,448.931640625,382.541015625,446.921875,322.56640625,404.53515625,377.814453125,442.615234375,333.8125,362.955078125,378.25,412.630859375,338.982421875,368.328125,443.310546875,470.23046875,329.49609375,448.3671875,373.552734375,410.0625,335.953125,300.5390625,376.015625,357.7734375,325.47265625,285.42578125,348.80859375,443.462890625,386.55859375,390.560546875,406.4765625,490.9765625,332.97265625,448.74609375,362.189453125,414.4375,376.6015625,354.2578125,338.689453125,342.203125,409.88671875,382.41796875,428.654296875,426.421875,475.9453125,467.935546875,353.166015625,432.9609375,400.02734375,358.4765625,374.4453125,353.48828125,368.640625,426.404296875,372.4921875,427.029296875,397.3125,333.9765625,290.12890625,434.341796875,356.12109375,363.55078125,383.556640625,371.109375,413.548828125,372.076171875,364.123046875,340.40625
1,757.810546875,741.203125,603.62109375,683.79296875,745.9921875,722.109375,748.306640625,819.447265625,635.197265625,739.880859375,735.6640625,693.869140625,813.947265625,829.037109375,641.16796875,798.955078125,536.29296875,644.810546875,773.14453125,614.28125,616.63671875,699.51171875,579.3359375,684.751953125,651.380859375,684.8828125,655.2421875,793.33984375,751.40234375,544.802734375,790.55859375,645.439453125,610.30078125,863.15625,725.8359375,719.75390625,579.77734375,663.8046875,715.48828125,662.005859375,679.181640625,688.36328125,702.451171875,648.65625,687.08984375,487.1484375,745.568359375,610.75,722.408203125,552.90234375,730.703125,609.16015625,779.984375,726.962890625,819.865234375,668.396484375,732.208984375,561.025390625,734.05078125,488.544921875,735.01171875,730.421875,677.595703125,689.189453125,851.193359375,679.99609375,634.791015625,688.01171875,606.845703125,720.1328125,735.271484375,617.234375,662.69921875,821.0,683.466796875,606.3828125,784.5390625,711.744140625,730.0703125,651.654296875,796.708984375,744.876953125,752.66796875,716.0234375,643.9296875,681.294921875,676.287109375,755.8828125,679.345703125,556.25390625,733.287109375,763.232421875,715.23828125,695.232421875,707.96875,712.55859375,606.455078125,745.001953125,722.478515625,738.408203125
2,1072.0859375,937.267578125,1080.072265625,918.181640625,826.72265625,950.158203125,1011.01953125,908.53125,1112.60546875,1081.001953125,769.78515625,856.62109375,984.81640625,941.994140625,1010.201171875,1034.986328125,1076.205078125,1078.138671875,947.078125,929.462890625,931.05078125,1072.953125,820.970703125,989.708984375,965.6328125,812.056640625,1061.244140625,1005.43359375,968.78125,1095.052734375,971.876953125,982.88671875,987.361328125,957.69921875,1070.828125,888.0390625,993.23046875,937.880859375,937.486328125,1065.7890625,1042.625,1030.18359375,978.33984375,995.7734375,1128.80078125,1032.357421875,1109.8359375,1059.986328125,1037.625,981.33203125,1086.087890625,1051.677734375,988.0078125,1105.830078125,822.9453125,1040.0703125,1076.939453125,932.84375,1027.86328125,1058.791015625,1034.83203125,999.12109375,914.529296875,1035.396484375,935.763671875,941.779296875,1054.51953125,916.515625,959.048828125,973.5,1046.431640625,755.494140625,883.32421875,1133.30859375,1098.427734375,990.005859375,943.87109375,841.173828125,883.904296875,1091.310546875,939.0078125,1068.0703125,1013.8125,948.580078125,970.4296875,1084.890625,861.720703125,815.87109375,942.560546875,920.6484375,851.5390625,951.0,1028.1484375,925.662109375,1055.9140625,1036.740234375,855.4609375,737.650390625,920.259765625,1107.837890625
3,1179.095703125,1255.189453125,1252.064453125,1335.3017578125,1161.6318359375,1168.646484375,1223.26953125,1273.310546875,1257.88671875,1185.490234375,1240.875,1282.763671875,1196.94921875,1303.443359375,1183.3515625,1073.02734375,1178.015625,1190.8369140625,843.626953125,1194.03515625,1296.564453125,1237.095703125,1206.83203125,1240.5146484375,1238.201171875,1224.48046875,1243.763671875,1312.2705078125,1133.537109375,1182.130859375,1338.197265625,1220.55078125,1122.87109375,1270.615234375,1215.80078125,1024.7421875,1226.2041015625,1027.875,1224.439453125,1309.21875,1113.828125,1060.265625,1095.8359375,1248.6865234375,1071.93359375,1189.3583984375,1278.64453125,1120.5703125,1250.20703125,1208.533203125,1192.3876953125,1329.943359375,1216.08203125,1217.3916015625,1119.48828125,1265.2841796875,1178.8544921875,1276.580078125,962.33203125,1160.830078125,1341.158203125,1196.541015625,1293.576171875,1283.7080078125,1159.443359375,1177.96484375,1151.1494140625,1271.99609375,1007.88671875,1238.15234375,1201.06640625,1306.6455078125,1197.5048828125,1261.537109375,1323.658203125,1325.966796875,1215.388671875,1130.8046875,1356.171875,1127.9296875,1239.23828125,960.7890625,1052.93359375,1118.18359375,1227.41015625,1309.640625,1258.84375,1052.611328125,1348.857421875,1276.896484375,1256.2109375,1200.7470703125,1241.8203125,1102.912109375,1200.091796875,1121.5,1238.5283203125,1235.001953125,1166.95703125,1207.330078125
4,1283.607421875,1164.990234375,1395.2431640625,1311.1064453125,1353.375,1416.00390625,1536.197265625,1250.548828125,1285.6455078125,1389.908203125,1363.81640625,1359.2578125,1259.42578125,1368.61328125,1191.30078125,1356.59765625,1402.9765625,1257.0703125,1443.701171875,1255.4697265625,1050.890625,1370.33984375,1332.57421875,1431.96875,1367.578125,1375.232421875,1377.41015625,1294.822265625,1390.771484375,1422.4189453125,1251.154296875,1250.4921875,1332.5068359375,1164.3203125,1319.017578125,1373.033203125,1326.2607421875,1291.701171875,1268.09375,1488.9140625,1309.0458984375,1075.7529296875,1328.3046875,1250.0625,1358.283203125,1371.2998046875,1187.0986328125,1116.3125,1299.41796875,1387.2607421875,1474.826171875,1415.228515625,1283.16796875,1276.615234375,1228.9248046875,1320.845703125,1413.10546875,1057.6796875,1089.9658203125,1353.0751953125,1412.4697265625,1272.771484375,1291.71875,1188.0390625,1305.2451171875,1341.2978515625,1387.9228515625,1337.7197265625,1104.0830078125,1189.9287109375,1303.859375,1400.61328125,1322.8671875,1256.171875,1284.4384765625,1446.765625,1261.966796875,1311.2109375,1377.5205078125,1411.603515625,1246.212890625,1321.28125,1304.4833984375,1417.328125,1407.2666015625,1278.4384765625,1205.79296875,1342.130859375,1369.96875,1258.634765625,1323.25,1364.75390625,1283.9296875,1385.673828125,1334.267578125,1371.208984375,1278.720703125,1499.0791015625,1421.509765625,1369.2646484375
5,1628.7783203125,1521.404296875,1179.822265625,1470.619140625,1473.5390625,1389.623046875,1412.380859375,1410.939453125,1351.681640625,1434.8935546875,1433.2705078125,1471.064453125,1590.146484375,1348.83984375,1524.1083984375,1526.1064453125,1417.75,1402.1005859375,1602.794921875,1424.6259765625,1374.826171875,1571.1298828125,1535.212890625,1372.2333984375,1513.396484375,1394.1748046875,1409.7607421875,1393.439453125,1596.931640625,1603.099609375,1652.54296875,1516.3662109375,1384.0439453125,1483.8818359375,1389.087890625,1170.83984375,1438.642578125,1385.09765625,1687.861328125,1515.7060546875,1482.984375,1596.90234375,1340.212890625,1567.8994140625,1431.017578125,1500.0009765625,1540.55078125,1483.4599609375,1394.408203125,1535.9794921875,1336.88671875,1446.16796875,1353.005859375,1345.29296875,1523.248046875,1082.52734375,1529.15234375,1480.763671875,1300.6259765625,1398.99609375,1430.4736328125,1507.06640625,1482.61328125,1537.783203125,1429.90234375,1502.970703125,1325.904296875,1496.00390625,1605.0029296875,1450.5927734375,1429.6787109375,1464.177734375,1275.04296875,1619.6279296875,1414.82421875,1524.7060546875,1515.2001953125,1595.3408203125,1487.4892578125,1303.6630859375,1358.294921875,1475.7353515625,1456.734375,1598.5673828125,1242.3984375,1465.7978515625,1518.4609375,1406.9111328125,1559.96875,1470.400390625,1519.361328125,1526.3310546875,1655.2119140625,1444.5537109375,1421.103515625,1306.02734375,1557.453125,1526.1513671875,1644.0625,1503.671875
6,1402.32421875,1786.8056640625,1626.1162109375,1621.134765625,1661.2197265625,1687.693359375,1566.6669921875,1726.708984375,1438.7314453125,1515.4287109375,1711.849609375,1746.330078125,1661.625,1674.28515625,1770.1171875,1527.177734375,1702.21484375,1213.26953125,1662.6181640625,1600.0419921875,1449.7626953125,1350.72265625,1583.751953125,1701.6513671875,1636.6025390625,1486.5791015625,1686.1787109375,1696.4169921875,1822.921875,1612.2412109375,1691.6220703125,1643.421875,1671.609375,1711.3818359375,1657.072265625,1620.50390625,1709.6015625,1376.9326171875,1735.1181640625,1634.916015625,1678.763671875,1859.6669921875,1744.4912109375,1595.3828125,1505.5966796875,1552.04296875,1491.396484375,1366.1591796875,1753.0087890625,1542.65234375,1510.626953125,1544.53125,1509.5400390625,1545.9658203125,1569.47265625,1529.357421875,1671.94140625,1731.07421875,1536.4921875,1363.27734375,1668.5703125,1745.4765625,1492.060546875,1672.830078125,1870.4541015625,1481.2197265625,1807.87109375,1751.765625,1585.0380859375,1527.8720703125,1550.857421875,1761.46875,1720.341796875,1559.7578125,1527.044921875,1702.31640625,1575.880859375,1680.048828125,1700.6484375,1719.6533203125,1516.6455078125,1701.56640625,1698.791015625,1781.1884765625,1416.1845703125,1627.6611328125,1635.3662109375,1568.3056640625,1538.2421875,1625.375,1764.697265625,1620.048828125,1430.05859375,1722.1630859375,1518.205078125,1669.5888671875,1716.017578125,1559.3505859375,1400.4765625,1572.416015625
7,1881.4150390625,1896.4404296875,1832.2939453125,1854.60546875,1768.818359375,1859.45703125,1722.7197265625,1677.1484375,1693.158203125,1557.71484375,1707.1220703125,1870.8984375,1882.1318359375,1594.3525390625,1564.3798828125,1680.630859375,1890.845703125,1609.9833984375,1630.1279296875,1791.3486328125,1625.4912109375,1536.517578125,1909.8740234375,1828.1005859375,1785.314453125,1834.908203125,1875.0478515625,1801.30859375,1533.1796875,1625.5458984375,1744.244140625,1529.427734375,1765.1025390625,1802.0693359375,1601.41015625,1564.9599609375,1890.69921875,1604.1845703125,1684.50390625,1780.705078125,1595.212890625,1641.939453125,1743.921875,1634.912109375,1687.154296875,1823.98828125,2007.42578125,1774.521484375,1886.9609375,1749.1259765625,1650.0654296875,1683.2060546875,1678.005859375,1737.6826171875,1817.61328125,1750.708984375,1770.23828125,1757.810546875,1777.3310546875,1560.376953125,1706.2880859375,1823.107421875,1802.81640625,1698.8955078125,1553.0078125,1683.33984375,1848.3583984375,1740.955078125,1570.7451171875,1720.5703125,1645.9560546875,1672.171875,1711.1328125,1834.0419921875,1647.9736328125,1778.3759765625,1782.27734375,1926.751953125,1901.6298828125,1825.9072265625,1910.7431640625,1624.1259765625,1448.2734375,1701.1630859375,1752.9052734375,1591.8095703125,1780.9609375,1495.2412109375,1989.5458984375,1821.1611328125,1823.33203125,1616.78515625,1616.0048828125,1752.9140625,1858.646484375,1691.6015625,1618.4189453125,1581.1669921875,1828.3779296875,1907.6201171875
8,2150.7802734375,1835.802734375,1654.31640625,1833.7021484375,1928.962890625,1753.6162109375,1794.7919921875,1835.904296875,1740.744140625,1997.7109375,1962.5693359375,1761.509765625,1698.28125,1756.041015625,1868.302734375,2079.388671875,1723.3291015625,1619.90234375,1507.1025390625,1799.4091796875,1683.5087890625,1680.2578125,1658.2783203125,1790.658203125,1649.6923828125,2001.3857421875,1769.5234375,1679.26171875,1580.36328125,1860.5859375,1723.5400390625,2149.306640625,1827.0546875,1826.103515625,1941.740234375,1805.3095703125,1916.7470703125,1992.775390625,1897.802734375,1845.0986328125,1822.171875,1752.751953125,1837.4296875,1886.8994140625,1986.291015625,2068.923828125,2026.681640625,1813.837890625,1911.3828125,1966.701171875,1673.0634765625,1685.5947265625,1993.4736328125,2047.08203125,2003.4365234375,2109.0859375,1527.19140625,1906.552734375,1995.7529296875,1900.2197265625,2041.1923828125,1941.224609375,1942.564453125,1783.84765625,2081.7490234375,2048.8125,1850.2119140625,1944.9375,1758.8984375,1695.5341796875,1988.1982421875,1473.4248046875,1789.1826171875,1961.7509765625,1913.205078125,1738.75,1933.9765625,1906.17578125,1813.2626953125,1784.79296875,2013.0439453125,1892.599609375,1801.23046875,1700.3681640625,1822.4765625,1922.501953125,1912.37109375,1699.2822265625,1873.294921875,1833.8759765625,1845.6328125,1786.396484375,1909.0791015625,1647.9072265625,1774.11328125,2098.7470703125,2002.39453125,2019.5693359375,1922.40234375,1988.55078125
9,1982.458984375,2014.36328125,1974.48046875,1836.7236328125,1974.4306640625,1906.4375,1953.0341796875,1978.2666015625,1935.83203125,1870.755859375,1995.66015625,1937.841796875,1972.103515625,2027.119140625,1973.337890625,1849.32421875,2028.9150390625,2128.779296875,1951.716796875,1709.5830078125,2024.2666015625,1932.462890625,1844.087890625,1956.4755859375,1640.359375,1979.5693359375,2141.466796875,2053.154296875,1969.00390625,1875.6240234375,2137.818359375,2076.2197265625,2096.4833984375,2166.4775390625,1756.11328125,1940.8544921875,2054.1640625,2019.5087890625,2092.044921875,2020.5390625,2216.7353515625,2103.6416015625,1924.5576171875,1835.5634765625,2190.1298828125,2100.2978515625,2117.3759765625,1918.0810546875,2107.275390625,1843.4970703125,1900.6611328125,1901.298828125,2126.01953125,1916.646484375,1999.810546875,1897.5751953125,2171.6806640625,2008.28125,1883.486328125,1888.880859375,1826.013671875,1920.390625,1979.0341796875,2044.8720703125,2129.634765625,1884.5244140625,2080.8935546875,1993.533203125,2020.51171875,1991.458984375,1879.8671875,1991.0625,1963.8603515625,1851.5107421875,1924.5791015625,1914.43359375,1938.76171875,2075.642578125,2075.185546875,1917.55078125,2221.091796875,1808.087890625,1862.7724609375,1669.666015625,1930.0693359375,1888.765625,1944.7177734375,2076.90625,1925.5888671875,2124.23828125,1982.455078125,2129.306640625,2076.80078125,2060.708984375,2022.126953125,1872.7314453125,1941.921875,2119.1259765625,2082.0634765625,2058.80078125
